x,sin(x),cos(x)
0.0,0.0,1.0
0.06346652,0.063423924,0.9979867
0.12693304,0.12659246,0.9919548
0.19039956,0.18925124,0.9819287
0.25386608,0.251148,0.9679487
0.3173326,0.31203344,0.9500711
0.3807991,0.37166247,0.9283679
0.44426563,0.4297949,0.9029265
0.50773215,0.48619676,0.8738494
0.57119864,0.5406408,0.8412535
0.6346652,0.59290797,0.80527025
0.6981317,0.6427876,0.76604444
0.7615982,0.69007903,0.723734
0.8250647,0.73459166,0.6785094
0.88853127,0.7761465,0.63055265
0.95199776,0.81457597,0.5800569
1.0154643,0.8497254,0.52722543
1.0789309,0.8814534,0.47227105
1.1423973,0.90963197,0.41541508
1.2058638,0.93414783,0.35688624
1.2693304,0.95490223,0.29692036
1.3327969,0.9718116,0.23575889
1.3962634,0.9848077,0.17364822
1.4597299,0.9938385,0.11083821
1.5231965,0.99886733,0.047581892
1.586663,0.9998741,-0.015866015
1.6501294,0.9968548,-0.07924992
1.713596,0.98982143,-0.14231484
1.7770625,0.97880244,-0.20480669
1.8405291,0.96384215,-0.26647386
1.9039955,0.9450008,-0.3270679
1.9674621,0.9223543,-0.38634512
2.0309286,0.89599377,-0.4440666
2.0943952,0.8660254,-0.50000006
2.1578617,0.8325698,-0.55392015
2.221328,0.7957619,-0.6056096
2.2847946,0.75574964,-0.6548607
2.348261,0.71269417,-0.70147485
2.4117277,0.666769,-0.7452644
2.4751942,0.618159,-0.78605306
2.5386608,0.5670599,-0.8236766
2.6021273,0.51367736,-0.8579834
2.6655939,0.45822644,-0.8888355
2.7290602,0.40093064,-0.9161084
2.7925267,0.3420202,-0.9396926
2.8559933,0.2817326,-0.959493
2.9194598,0.22031055,-0.9754298
2.9829264,0.15800138,-0.9874389
3.046393,0.095056,-0.99547195
3.1098595,0.03172786,-0.9994965
3.173326,-0.031728033,-0.9994965
3.2367923,-0.09505594,-0.99547195
3.3002589,-0.15800132,-0.9874389
3.3637254,-0.2203105,-0.9754298
3.427192,-0.28173256,-0.959493
3.4906585,-0.34202015,-0.9396926
3.554125,-0.40093058,-0.9161084
3.6175916,-0.4582266,-0.88883543
3.6810582,-0.5136775,-0.85798335
3.7445245,-0.56705976,-0.82367665
3.807991,-0.61815894,-0.7860532
3.8714576,-0.66676897,-0.74526453
3.9349241,-0.71269417,-0.7014749
3.9983907,-0.7557496,-0.65486073
4.061857,-0.7957619,-0.60560966
4.125324,-0.8325699,-0.55392003
4.1887903,-0.86602545,-0.4999999
4.252257,-0.8959938,-0.4440665
4.3157234,-0.92235434,-0.38634497
4.37919,-0.9450009,-0.32706776
4.442656,-0.9638421,-0.26647407
4.5061226,-0.9788024,-0.20480686
4.569589,-0.98982143,-0.14231502
4.6330557,-0.9968548,-0.0792501
4.696522,-0.9998741,-0.01586608
4.759989,-0.99886733,0.04758183
4.8234553,-0.9938385,0.11083815
4.886922,-0.9848077,0.17364816
4.9503884,-0.9718116,0.23575895
5.013855,-0.95490223,0.2969204
5.0773215,-0.93414783,0.35688627
5.140788,-0.90963197,0.4154151
5.2042546,-0.88145334,0.47227117
5.267721,-0.84972537,0.5272256
5.3311877,-0.81457585,0.5800571
5.3946543,-0.77614635,0.6305528
5.4581203,-0.73459184,0.67850924
5.521587,-0.69007915,0.7237339
5.5850534,-0.64278775,0.7660443
5.64852,-0.592908,0.8052702
5.7119865,-0.5406409,0.84125346
5.775453,-0.4861968,0.87384933
5.8389196,-0.42979494,0.9029265
5.902386,-0.37166247,0.9283679
5.9658527,-0.3120334,0.95007116
6.0293193,-0.25114793,0.96794873
6.092786,-0.18925115,0.9819287
6.1562524,-0.12659234,0.9919548
6.219719,-0.06342378,0.9979867
6.2831855,1.7484555e-07,1.0
