Angle,Radians,Pred_Sin,True_Sin,Sin_Error,Pred_Cos,True_Cos,Cos_Error,Pred_Tan,True_Tan,Tan_Error
0°,0.0000,0.039062,0.000000,0.039062,0.976562,1.000000,0.023438,0.040000,0.000000,0.040000
30°,0.5236,0.507812,0.500000,0.007813,0.875000,0.866025,0.008975,0.580357,0.577350,0.003007
45°,0.7854,0.710938,0.707107,0.003831,0.718750,0.707107,0.011643,0.989130,1.000000,0.010870
60°,1.0472,0.851562,0.866025,0.014463,0.554688,0.500000,0.054687,1.535211,1.732051,0.196839
90°,1.5708,0.984375,1.000000,0.015625,0.054688,0.000000,0.054687,18.000000,16331239353195370.000000,16331239353195352.000000
120°,2.0944,0.968750,0.866025,0.102725,-0.554688,-0.500000,0.054688,-1.746479,-1.732051,0.014428
135°,2.3562,0.875000,0.707107,0.167893,-0.867188,-0.707107,0.160081,-1.009009,-1.000000,0.009009
150°,2.6180,0.625000,0.500000,0.125000,-0.953125,-0.866025,0.087100,-0.655738,-0.577350,0.078387
180°,3.1416,0.015625,0.000000,0.015625,-0.976562,-1.000000,0.023438,-0.016000,-0.000000,0.016000
270°,4.7124,-0.976562,-1.000000,0.023438,0.093750,-0.000000,0.093750,-10.416667,5443746451065123.000000,5443746451065133.000000
360°,6.2832,0.039062,-0.000000,0.039063,0.976562,1.000000,0.023438,0.040000,-0.000000,0.040000
-90°,-1.5708,-0.976562,-1.000000,0.023438,0.093750,0.000000,0.093750,-10.416667,-16331239353195370.000000,16331239353195360.000000
-180°,-3.1416,0.015625,-0.000000,0.015625,-0.976562,-1.000000,0.023438,-0.016000,0.000000,0.016000
